Name, Introduction Date, CMOS Node[nm] , Die Area[mm2], Throughput [Mhash/s] , Throughput per Area[Mhash/(s*mm2)], Energy Efficiency[MH/J], CMOS Potential Throughput, CMOS Potential Throughput per Area, CMOS Potential Energy Efficiency
Monarch, 2014-08-21 , 28, 504.0, 410000.0, 813.492063492, 1960.784314, 3.54e+12, 7023809523.81, 387596899.225
Monarch, 2014-08-21 , 28, 504.0, 500000.0, 992.063492063, 1851.851852, 3.54e+12, 7023809523.81, 387596899.225
Monarch, 2014-08-21 , 28, 504.0, 550000.0, 1091.26984127, 1612.903226, 3.54e+12, 7023809523.81, 387596899.225
Monarch, 2014-08-21 , 28, 504.0, 600000.0, 1190.47619048, 1639.344262, 3.54e+12, 7023809523.81, 387596899.225
Monarch, 2014-08-21 , 28, 504.0, 650000.0, 1289.68253968, 1515.151515, 3.54e+12, 7023809523.81, 387596899.225
Monarch, 2014-08-21 , 28, 504.0, 700000.0, 1388.88888889, 1428.571429, 3.54e+12, 7023809523.81, 387596899.225
Monarch, 2014-08-21 , 28, 504.0, 730000.0, 1448.41269841, 1369.863014, 3.54e+12, 7023809523.81, 387596899.225
Monarch, 2014-08-21 , 28, 504.0, 780000.0, 1547.61904762, 1282.051282, 3.54e+12, 7023809523.81, 387596899.225
RockerBox, 2014-07-22 , 28, 115.0, 174000.0, 1513.04347826, 3164.0, 2.05319561883e+12, 17853874946.4, 242575866.784
RockerBox, 2014-07-22 , 28, 115.0, 190000.0, 1652.17391304, 2941.0, 2.30890219322e+12, 20077410375.8, 269127725.425
RockerBox, 2014-07-22 , 28, 115.0, 212000.0, 1843.47826087, 2356.0, 2.93953510365e+12, 25561174814.4, 331664013.999
DigBig, 2014-03-30 , 40, 30.0, 15625.0, 520.833333333, 1053.0, 2.24938864684e+11, 7497962156.12, 12548933.4375
A3222, 2014-09-01 , 28, 44.89, 25000.0, 556.916907997, 2500.0, 5.92794374353e+11, 13205488401.7, 75931549.1019
A3222, 2014-09-01 , 28, 44.89, 25000.0, 556.916907997, 1667.0, 7.96476251594e+11, 17742843653.2, 100837465.916
BM1384, 2014-09-01 , 28, 14.0625, 8250.0, 586.666666667, 4009.0, 1.87299118519e+11, 13319048428.0, 24565479.2768
BM1384, 2014-09-01 , 28, 14.0625, 15125.0, 1075.55555556, 2823.0, 3.76177654275e+11, 26750410970.6, 48794167.3091
BM1384, 2014-09-01 , 28, 14.0625, 22000.0, 1564.44444444, 2234.0, 5.86205694719e+11, 41685738291.1, 75116126.7793
SF3301, 2015-03-10 , 28, 111.0912, 36000.0, 324.058071206, 3279.0, 6.34547651835e+11, 5711952448.4, 81084616.8389
SF3301, 2015-03-10 , 28, 111.0912, 100000.0, 900.161308907, 1866.0, 2.01488463197e+12, 18137211876.1, 238535449.563
SF3301, 2015-03-10 , 28, 111.0912, 72000.0, 648.116142413, 3093.0, 1.09731754583e+12, 9877627983.38, 136584331.115
SF3301, 2015-03-10 , 28, 111.0912, 152000.0, 1368.24518954, 1563.0, 3.1106854931e+12, 28001187250.7, 347951067.707
BM1387, 2016-09-01 , 16, 12.0, 111000.0, 9250.0, 10204.08163, 1.91245981844e+12, 1.59371651537e+11, 392417754.23
BitFury 16nm, 2015-12-16 , 16, 25.0, 100000.0, 4000.0, 16666.66667, 1.37267402518e+12, 54906961007.4, 287356138.795
A3212, 2016-03-01 , 16, 36.0, 83000.0, 2305.55555556, 6250.0, 1.77e+12, 49166666666.7, 365096750.639
